A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
0.895,0.6,0,1,1,0.25,0,0.25,0.5,0.13,0.13,0.75,0.66,0.334,0.628,0.579,0.756,0.824,0.33,0,0,1,1,0.897,1,1,1,1,0,1,1,0,0.5,0.5,1,0.3,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.684,0.6,1,1,1,1,0.917,0.75,0.75,0.078,0.078,0.75,0.262,0.127,0.285,0.605,0.789,0.685,0.133,0.124,0.055,0.982,0.395,1,1,1,0.577,0,0,1,1,0.25,0.75,0.5,1,0.16,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.789,0.4,1,1,0.5,0.5,1,1,1,0.259,0.259,0.25,0.139,0.153,0.157,0.89,0.901,0.727,0.164,0.13,0.192,0.816,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0.6,1,1,1,0.5,0.5,0.25,1,0.415,0.415,0.75,0.511,0.26,0.497,0.561,0.78,0.801,0.455,0.346,0.216,0.873,0.087,0.84,1,0.5,1,1,0,1,1,0,0.5,0.5,1,0.28,0,0,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0.6,0,1,1,0.5,0.667,0.5,0.5,0.207,0.207,0.25,0.194,0.107,0.222,0.802,0.813,0.648,0.165,0.106,0.038,0.996,0.4,0.714,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,0.5,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.316,0.4,1,1,1,1,0.917,0.75,1,0.156,0.156,0.75,0.244,0.333,0.321,0.605,0.537,0.454,0.262,0.265,0.312,0.722,0,0,1,1,0.884,0,0,1,1,0.25,0.75,0.75,0,0,1,0.5,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,1,0.13,0.13,0.75,0.512,0.244,0.624,0.473,0.165,0.485,0.258,0.515,0.38,0.738,0,0.943,1,1,1,1,0,1,1,0,0.5,0.5,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.947,0.4,1,1,1,0.5,0.333,0,0.5,0.233,0.233,0.5,0.681,0.324,0.754,0,0.231,0.586,0.392,0,0,1,1,0.657,1,1,0.524,0,0,1,1,0.25,0.75,0.25,0,0,1,0.5,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.6,1,1,0.75,0.5,0.833,0.75,0.75,0.389,0.389,0.75,0.219,0.106,0.258,0.561,0.742,0.592,0.266,0.212,0.165,0.882,0,0.971,1,1,1,1,0.008,1,1,0,0.5,0.75,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.5,0.778,0.778,0.5,0.409,0.208,0.426,0.561,0.703,0.701,0.576,0,0,1,1,0.714,1,0.75,0.471,0,0,1,1,0.5,1,0.25,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
1,0,1,1,1,0.5,0.667,0.5,0.75,0.337,0.337,0.25,0.138,0.153,0.18,0.789,0.789,0.535,0.2,0.111,0.096,0.926,0.111,0.657,1,0.25,1,1,0.002,1,1,0,0.5,0.25,1,0.256,0,0,0.222,0.581,0.689,0.751,0.22,0.228,Farmers-good
1,0.6,1,1,1,0.5,0.5,0.25,0.75,0.648,0.648,0.75,0.389,0.297,0.435,0.473,0.578,0.603,0.742,0.359,0.279,0.8,0,0.315,1,1,0.298,0,0,1,1,0.25,0.75,0.5,0,0,1,1,0.398,0.63,0.308,1,0.193,0.355,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.75,0.207,0.207,0.5,0.252,0.347,0.301,0.473,0.671,0.561,0.605,0.174,0.12,0.922,0.167,0.657,1,1,1,1,0.004,1,1,0,0.5,0.25,0,0,1,0.8,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.632,0.4,1,1,0.75,0.75,1,1,1,0.622,0.622,0.5,0.313,0.148,0.406,0,0.407,0.448,0.498,0.335,0.292,0.775,0,1,1,1,0.913,0,0,1,1,0.5,1,0.75,1,0.1,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.684,0.4,1,1,0.75,0.75,1,1,1,0.104,0.104,0.25,0.135,0.136,0.157,0.781,0.89,0.699,0.097,0.129,0.069,0.967,0,1,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,0.8,0.245,0.645,0.348,0.891,0.223,0.714,Farmers-good
0.947,0.4,1,1,1,0.5,0.667,0.5,0.5,0.078,0.078,0.5,0.622,0.543,0.776,0.737,0,0.5,0.29,0,0,1,1,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.32,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0,1,1,0.75,0.5,0.833,0.75,0.5,0,0.311,0.75,0.435,0.121,0.505,0.078,0.429,0.549,0.423,0.25,0.165,0.897,0.247,0.572,0.25,1,0.735,0,0,1,1,0.25,0.75,0.5,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.842,0,1,1,0.75,0.5,0.833,0.75,0.25,1,1,0.5,0.837,0.117,0.875,0,0.286,0.657,0.866,0,0,1,1,0.714,1,0.75,1,1,0.025,1,1,0,0.5,0.25,0,0,1,1,1,0,0,0.846,0.351,0.684,Farmers-good
